Typical Role Name,Record Source,Job Family,Job Family Function,Job Family Role,APS Job Code,Discipline Name,Also known as (alternate role titles),Description,Typical APS Classification,Knowledge,Span of Influence,Required Experience 1,Required Experience 2,Required Experience 3,SFIA version,SFIA Skill 1,SFIA Level 1,Critical SFIA Skill 1,SFIA Skill 2,SFIA Level 2,Critical SFIA Skill 2,SFIA Skill 3,SFIA Level 3,Critical SFIA Skill 3,SFIA Skill 4,SFIA Level 4,Critical SFIA Skill 4,SFIA Skill 5,SFIA Level 5,Critical SFIA Skill 5,SFIA Skill 6,SFIA Level 6,Critical SFIA Skill 6,SFIA Skill 7,SFIA Level 7,Critical SFIA Skill 7,SFIA Skill 8,SFIA Level 8,Critical SFIA Skill 8,SFIA Skill 9,SFIA Level 9,Critical SFIA Skill 9,SFIA Skill 10,SFIA Level 10,Critical SFIA Skill 10,SFIA Skill 11,SFIA Level 11,Critical SFIA Skill 11,SFIA Skill 12,SFIA Level 12,Critical SFIA Skill 12,SFIA Skill 13,SFIA Level 13,Critical SFIA Skill 13,SFIA Skill 14,SFIA Level 14,Critical SFIA Skill 14,SFIA Skill 15,SFIA Level 15,Critical SFIA Skill 15,SFIA Skill 16,SFIA Level 16,Critical SFIA Skill 16,CIISec version,CIISec Skill 1,CIISec Level 1,Critical CIISec Skill 1,CIISec Skill 2,CIISec Level 2,Critical CIISec Skill 2,CIISec Skill 3,CIISec Level 3,Critical CIISec Skill 3,CIISec Skill 4,CIISec Level 4,Critical CIISec Skill 4,CIISec Skill 5,CIISec Level 5,Critical CIISec Skill 5,CIISec Skill 6,CIISec Level 6,Critical CIISec Skill 6,CIISec Skill 7,CIISec Level 7,Critical CIISec Skill 7,CIISec Skill 8,CIISec Level 8,Critical CIISec Skill 8,CIISec Skill 9,CIISec Level 9,Critical CIISec Skill 9
Cloud Service Manager,Typical APS,ICT,Service Delivery,ICT Infrastructure and Facilities,150303,Cloud Service Management,,"Cloud Service Managers monitor cloud usage and work with Cloud Architects and cloud service consumers to ensure cloud service usage is meeting, and can be evolved to better meet, agency objectives. Maintain awareness of cloud service offerings as well as business and customer usage and demands, then advises on, plan and optimises the consumption of cloud services by the agency. ",EL1,Competent,,,,,7,CPMG,5,,CNSL,5,,TECH,4,,SORC,4,,SUPP,5,,ITCM,5,,SLMO,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Infrastructure Engineer,Typical APS,ICT,Service Delivery,ICT Infrastructure and Facilities,150303,Infrastructure Engineering,Senior SysAdmin,"Infrastructure Engineers implement, manage and retire the infrastructure (including physical, virtual, networking and cloud infrastructure) that supports digital services.",EL1,Expert,,,,,7,CPMG,4,,PBMG,4,,AVMT,5,,DESN,5,,ITOP,4,,HSIN,5,,PROG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infrastructure Engineer,Typical APS,ICT,Service Delivery,ICT Infrastructure and Facilities,150303,Infrastructure Engineering,SysAdmin,"Infrastructure Engineers implement, manage and retire the infrastructure (including physical, virtual, networking and cloud infrastructure) that supports digital services.",APS6,Competent,,,,,7,PBMG,3,,AVMT,4,,DESN,4,,ITOP,4,,HSIN,4,,PROG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Infrastructure Engineer,Typical APS,ICT,Service Delivery,ICT Infrastructure and Facilities,150303,Infrastructure Engineering,Junior SysAdmin,"Infrastructure Engineers implement, manage and retire the infrastructure (including physical, virtual, networking and cloud infrastructure) that supports digital services.",APS4/5,Novice,,,,,7,ITOP,3,,HSIN,3,,PROG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior DevOps Engineer,Typical APS,ICT,Solutions Implementation,Systems Integration and Deployment,150601,DevOps Engineering,Senior Site Reliability Engineer,"DevOps Engineers work closely with development teams to provide (and support) the environment needed to deliver the organisation’s services quickly and efficiently, using automation and self-service.",EL1,Expert,,,,,7,DLMG,5,,AVMT,4,,DESN,5,,METL,5,,SINT,5,,PROG,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DevOps Engineer,Typical APS,ICT,Solutions Implementation,Systems Integration and Deployment,150601,DevOps Engineering,Site Reliability Engineer,"DevOps Engineers work closely with development teams to provide (and support) the environment needed to deliver the organisation’s services quickly and efficiently, using automation and self-service.",APS6/EL1,Competent,,,,,7,AVMT,4,,DESN,4,,METL,4,,SINT,4,,PROG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior DevOps Engineer,Typical APS,ICT,Solutions Implementation,Systems Integration and Deployment,150601,DevOps Engineering,Junior Site Reliability Engineer,"DevOps Engineers work closely with development teams to provide (and support) the environment needed to deliver the organisation’s services quickly and efficiently, using automation and self-service.",APS4/5,Beginner,,,,,7,METL,3,,SINT,2,,PROG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Technology Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Technology Architecture,,"Technology Architects determine the appropriate technologies to be used in the service development and delivery environment. They monitor emerging technologies and plan technology exploration, implementation and retirement.",EL2,Guru,Strategic,,,,7,CNSL,6,,TECH,5,Y,INOV,5,Y,DESN,5,Y,REQM,4,,CORE,5,,ARCH,4,Y,EMRG,6,Y,INAS,5,,NTDS,6,,SCTY,3,Y,STPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Technology Architecture,,"Technology Architects determine the appropriate technologies to be used in the service development and delivery environment. They monitor emerging technologies and plan technology exploration, implementation and retirement.",EL1,Expert,Organisation,,,,7,CNSL,5,,TECH,5,Y,INOV,5,,DESN,5,Y,REQM,4,,CORE,4,,ARCH,4,Y,EMRG,6,Y,INAS,5,,NTDS,5,Y,SCTY,3,Y,STPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principle Engineer,Typical APS,ICT,IT Business Management,IT architect,150204,Technology Architecture,,The Principle Engineer has overall responsibility for the technical environment that supports the development and delivery of digital services. They carryout strategic planning to ensure the internal technical environment is always fit for purpose in a continuously evolving external technical environment.,SES1,Guru,,,,,7,CNSL,6,,DLMG,7,,EMRG,6,,GOVN,6,,ITSP,5,,RLMT,6,,DESN,6,,ARCH,6,,STPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Solution Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Solution Architecture,,"Solution Architects consider the technical and commercial implications of the solution, ensuring it fits with the overall enterprise architecture of the agency. They guide and carry-out the implementation of technology, and maintain an awareness of current and emerging technologies.",EL2,Guru,Strategic,,,,7,BSMO,5,Y,BPRE,5,,CNSL,6,,TECH,5,Y,INOV,5,,DESN,6,Y,REQM,5,,CORE,4,,ARCH,6,Y,EMRG,5,,INAS,5,,NTDS,5,,DTAN,3,,SCTY,3,Y,SWDN,5,,STPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solution Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Solution Architecture,,"Solution Architects consider the technical and commercial implications of the solution, ensuring it fits with the overall enterprise architecture of the agency. They guide and carry-out the implementation of technology, and maintain an awareness of current and emerging technologies.",EL1,Expert,Organisation,,,,7,BSMO,5,Y,BPRE,5,,CNSL,5,,TECH,5,Y,INOV,5,,DESN,5,Y,REQM,5,,CORE,4,,ARCH,5,Y,EMRG,5,,INAS,5,,NTDS,5,,DTAN,3,,SCTY,3,Y,SWDN,5,,STPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Security Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Security Architecture,,"Security Architects design, review, test and assure the technical environment, solution designs and solution implementations in accordance with current and emerging security best practice. They contribute to the technical architecture and security policies and practices.",EL2,Guru,Strategic,,,,7,CNSL,6,,TECH,5,Y,INOV,5,,DESN,5,Y,REQM,4,,CORE,5,,ARCH,4,Y,EMRG,5,,INAS,6,Y,NTDS,5,Y,SCTY,6,Y,STPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Security Architecture,,"Security Architects design, review, test and assure the technical environment, solution designs and solution implementations in accordance with current and emerging security best practice. They contribute to the technical architecture and security policies and practices.",EL1,Expert,Organisation,,,,7,CNSL,5,,TECH,5,Y,INOV,5,,DESN,5,Y,REQM,4,,CORE,4,,ARCH,4,Y,EMRG,5,,INAS,5,Y,NTDS,5,Y,SCTY,5,Y,STPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Information Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Information Architecture,,"Information Architects understand, model and design the information requirements and usage of the organisation. They work with other architects to ensure the environment and services within it allow safe and effective management and exploitation of the information holdings of the organisation.",EL2,Guru,Strategic,,,,7,BSMO,5,Y,CNSL,6,,TECH,5,,INOV,5,Y,DESN,5,Y,REQM,4,,CORE,5,,VISL,5,,ISCO,6,,DTAN,5,Y,IRMG,5,Y,STPL,5,,ARCH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Information Architecture,,"Information Architects understand, model and design the information requirements and usage of the organisation. They work with other architects to ensure the environment and services within it allow safe and effective management and exploitation of the information holdings of the organisation.",EL1,Expert,Organisation,,,,7,BSMO,5,Y,CNSL,5,,TECH,5,,INOV,5,,DESN,5,Y,REQM,4,,CORE,4,,VISL,5,,ISCO,6,,DTAN,4,Y,IRMG,5,Y,STPL,5,,ARCH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Information Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Content Strategy,Web Based Information Architect,"Digital Information Architects work with Content Strategists and User Researchers to understand the information needs of users and services, in order to design the information architecture supporting a digital service.",EL1,Expert,Service,SFIA7:UNAN,,,7,RLMT,5,,URCH,5,,USEV,4,,ISCO,6,,CIPM,5,,ICPM,6,,INAN,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product Manager,Typical APS,ICT,Business Change,Program and Project Manager,150102,Product Management,,"Product Managers work closely with User Researchers and the rest of the delivery team to create and improve a product or service, ensuring it meets user needs. They are responsible for prioritising product component delivery, according to greatest user needs.",EL2,Expert,,,,,7,CIPM,6,,RLMT,6,,DEMM,6,,PROD,5,,REQM,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product Owner,Typical APS,ICT,Business Change,Program and Project Manager,150102,Product Management,,"Product Owners work closely with User Researchers and the rest of the delivery team to create and improve a product or service, ensuring it meets user needs. They are responsible for prioritising product component delivery, according to greatest user needs.",EL1,Competent,,,,,7,RLMT,5,,DEMM,5,,PROD,4,,REQM,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Delivery Manager,Typical APS,ICT,Business Change,Program and Project Manager,150102,Delivery Management,,"Delivery Managers unblock issues, support the delivery team, and monitor and improve performance of the team. They use agile methodologies, learning and iterating the product and processes frequently to meet user needs. They work with Product Managers to define the roadmap for products and services, remove blockers and support the delivery team so that they can maintain delivery throughput.",EL2,Expert,,,,,7,SORC,4,,ITCM,5,,PGMG,6,,RLMT,6,,RESC,5,,DLMG,5,,METL,5,,PEMT,6,,PRMG,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivery Manager,Typical APS,ICT,Business Change,Program and Project Manager,150102,Delivery Management,,"Delivery Managers unblock issues, support the delivery team, and monitor and improve performance of the team. They use agile methodologies, learning and iterating the product and processes frequently to meet user needs. They work with Product Managers to define the roadmap for products and services, remove blockers and support the delivery team so that they can maintain delivery throughput.",EL1,Competent,,,,,7,MEAS,4,,RESC,4,,DLMG,5,,METL,4,,RELM,4,,PEMT,5,,PRMG,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrum Master,Typical APS,ICT,Business Change,Program and Project Manager,150102,Delivery Management,,"Scrum Masters support the delivery team, and monitor and improve performance of the team. They use agile methodologies, learning and iterating the product and processes frequently to meet user needs. They work with Delivery Managers to remove blockers and support the delivery team so that they can maintain delivery throughput.",APS6,Competent,,,,,7,METL,3,,RELM,3,,PEMT,4,,PRMG,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Manager,Typical APS,ICT,Solutions Implementation,Testing ,150602,Manual Testing,Testing Practice Lead,Test Managers oversee the whole testing practice and manage the deployment of testing resources and testing approaches.,EL1,Guru,Organisation,,,,7,QUMG,5,,QUAS,4,,TECH,5,Y,BPTS,5,,METL,5,Y,TEST,6,Y,PEMT,5,Y,RLMT,4,Y,EMRG,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Performance Tester,Typical APS,ICT,Solutions Implementation,Testing ,150602,Digital Testing,,Performance Testers examine and report on the responsiveness and stability of systems and their components under workloads.,EL1,Expert,Service,,,,7,MEAS,4,,INAN,4,Y,TECH,5,,PROG,4,Y,METL,5,Y,TEST,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Tester,Typical APS,ICT,Solutions Implementation,Testing ,150602,Digital Testing,,Performance Testers examine and report on the responsiveness and stability of systems and their components under workloads.,APS6,Competent,Service,,,,7,MEAS,3,,INAN,3,Y,TECH,4,,PROG,3,Y,METL,3,Y,TEST,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Automation Tester,Typical APS,ICT,Solutions Implementation,Testing ,150602,Digital Testing,,"Automation Testers construct automated tests which confirm that systems and services function appropriately, and they validate the environment in which these things operate to make sure test results are valid.",EL1,Expert,Service,,,,7,TECH,5,Y,BPTS,4,,PROG,4,Y,METL,4,Y,TEST,5,Y,SINT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automation Tester,Typical APS,ICT,Solutions Implementation,Testing ,150602,Digital Testing,,"Automation Testers construct automated tests which confirm that systems and services function appropriately, and they validate the environment in which these things operate to make sure test results are valid.",APS6,Competent,Service,,,,7,TECH,4,Y,BPTS,4,,PROG,3,Y,METL,3,Y,TEST,4,Y,SINT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Automation Tester,Typical APS,ICT,Solutions Implementation,Testing ,150602,Digital Testing,,"Automation Testers construct automated tests which confirm that systems and services function appropriately, and they validate the environment in which these things operate to make sure test results are valid.",APS4/5,Beginner,Business,,,,7,USEV,2,Y,PROG,2,Y,METL,3,Y,TEST,3,Y,SINT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Migration Tester,Typical APS,ICT,Solutions Implementation,Testing ,150602,Digital Testing,,"Data Migration Testers manage and validate data as it is used or transferred between old and new systems, and within new systems where features of the systems are changing.",APS6,Competent,Service,,,,7,DATM,4,Y,INAS,5,Y,DTAN,2,Y,TECH,4,,METL,4,Y,TEST,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Lead,Typical APS,ICT,Solutions Implementation,Testing ,150602,Manual Testing,,"Test Leads manage testing activities for a project or service, usually leading a team of testers and providing high-level testing expertise.",APS6,Expert,Organisation,,,,7,BUAN,3,,USEV,3,,RLMT,4,Y,PEMT,4,Y,QUMG,4,,QUAS,3,,TECH,4,,BPTS,4,Y,METL,4,Y,TEST,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Test Analyst,Typical APS,ICT,Solutions Implementation,Testing ,150602,Manual Testing,,Test Analysts determine and then carry out testing activities to validate the design and behaviour of systems and services.,APS6,Expert,Service,,,,7,BUAN,3,,USEV,3,Y,QUMG,4,,QUAS,3,Y,TECH,4,,BPTS,4,Y,METL,4,Y,TEST,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Analyst,Typical APS,ICT,Solutions Implementation,Testing ,150602,Manual Testing,,Test Analysts determine and then carry out testing activities to validate the design and behaviour of systems and services.,APS5,Competent,Service,,,,7,BUAN,3,,USEV,3,Y,QUAS,3,,BPTS,4,Y,METL,4,Y,TEST,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Test Analyst,Typical APS,ICT,Solutions Implementation,Testing ,150602,Manual Testing,,Test Analysts determine and then carry out testing activities to validate the design and behaviour of systems and services.,APS4,Beginner,Business,,,,7,USEV,2,,METL,3,Y,TEST,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Test Analyst,Typical APS,ICT,Solutions Implementation,Testing ,150602,Manual Testing,,Test Analysts determine and then carry out testing activities to validate the design and behaviour of systems and services.,APS3,Novice,Business,,,,7,TEST,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robotic Process Automation Architect,Typical APS,TBD,TBD,TBD,TBD,Robotic Process Automation Design,,"Robotic Process Automation professionals design, build, test, schedule, monitor and maintain the systems that automate business processes.",EL1,Guru,,,,,7,PROD,6,,OCDV,5,,ETMG,6,,METL,6,,QUAS,6,,EMRG,5,,TECH,6,,INOV,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robotic Process Automation Analyst,Typical APS,TBD,TBD,TBD,TBD,Robotic Process Automation Design,,"Robotic Process Automation professionals design, build, test, schedule, monitor and maintain the systems that automate business processes.",EL1,Expert,,,,,7,CNSL,5,,RESC,5,,BENM,5,,BPRE,6,,REQM,5,,EMRG,4,,INOV,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Robotic Process Automation Developer,Typical APS,TBD,TBD,TBD,TBD,Robotic Process Automation Development,,"Robotic Process Automation professionals design, build, test, schedule, monitor and maintain the systems that automate business processes.",APS6,Competent,,,,,7,QUAS,4,,EMRG,4,,PEMT,4,,TECH,4,,RLMT,5,,PROG,5,,TEST,5,,SWDN,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robotic Process Automation Developer,Typical APS,TBD,TBD,TBD,TBD,Robotic Process Automation Development,,"Robotic Process Automation professionals design, build, test, schedule, monitor and maintain the systems that automate business processes.",APS5,Beginner,,,,,7,RLMT,4,,PROG,4,,TEST,4,,SWDN,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Robotic Process Automation Developer,Typical APS,TBD,TBD,TBD,TBD,Robotic Process Automation Development,,"Robotic Process Automation professionals design, build, test, schedule, monitor and maintain the systems that automate business processes.",APS4,Novice,,,,,7,RLMT,4,,PROG,3,,TEST,3,,SWDN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Process Controller,Typical APS,TBD,TBD,TBD,TBD,Robotic Process Automation Process Control,,"Robotic Process Automation professionals design, build, test, schedule, monitor and maintain the systems that automate business processes.",APS6,Competent,,,,,7,TECH,4,,RLMT,4,,AVMT,5,,SLMO,5,,RELM,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experience Owner,Typical APS,Service Delivery,Program Delivery,Program & Service Management,230401,Service Management,Digital Service Manager,Experience Owners have responsibility for the successful operation and continuous improvement of the service. They own the budget and allocate funding to areas of the service based on their decisions about priorities.,SES1,Guru,,,,,7,BPRE,7,,INOV,7,,QUMG,7,,RLMT,7,Y,HCEV,6,,KNOW,7,,PROD,6,Y,PGMG,7,,SLMO,7,,DEMM,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Content Strategist,Typical APS,Project and program,Design,Strategic Design,260102,Content Strategy,,"Content Strategists develop a content strategy that steers the creation of unambiguous, meaningful, cohesive, engaging, and sustainable content. They focus on the planning, structure, process, creation, delivery, and governance of content.",EL2,Expert,,,,,7,CORE,5,,CIPM,5,,ITSP,6,,IRMG,6,,RLMT,7,,UNAN,5,,INCA,6,Y,ISCO,6,Y,USEV,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Strategist,Typical APS,Project and program,Design,Strategic Design,260102,Content Strategy,,"Content Strategists develop a content strategy that steers the creation of unambiguous, meaningful, cohesive, engaging, and sustainable content. They focus on the planning, structure, process, creation, delivery, and governance of content.",EL1,Competent,,,,,7,ITSP,5,,IRMG,5,,RLMT,5,,HCEV,5,,UNAN,4,,DESN,5,,INCA,6,Y,ISCO,6,,ICPM,6,,USEV,6,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Engineer,Typical APS,ICT,Solutions Development,Development and Programming,150501,Engineering Lead,Lead Developer,"Solution Engineers design, test and implement solutions that deliver a digital service.",EL2,Expert,,,,,7,BPRE,5,,CNSL,5,,DLMG,6,,EMRG,6,,GOVN,6,,TECH,6,,METL,6,,SINT,6,,DESN,5,,SWDN,6,,PROG,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Engineer,Typical APS,ICT,Solutions Development,Development and Programming,150501,Solution Engineering,Senior Developer,"Solution Engineers design, test and implement solutions that deliver a digital service.",EL1,Competent,,,,,7,PORT,6,,EMRG,4,,TEST,4,,TECH,4,,METL,5,,SINT,5,,DESN,4,,SWDN,4,,PROG,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
