Typical Role Name,Record Source,Job Family,Job Family Function,Job Family Role,APS Job Code,Discipline Name,Also known as (alternate role titles),Description,Typical APS Classification,Knowledge,Span of Influence,Required Experience 1,Required Experience 2,Required Experience 3,SFIA version,SFIA Skill 1,SFIA Level 1,Critical SFIA Skill 1,SFIA Skill 2,SFIA Level 2,Critical SFIA Skill 2,SFIA Skill 3,SFIA Level 3,Critical SFIA Skill 3,SFIA Skill 4,SFIA Level 4,Critical SFIA Skill 4,SFIA Skill 5,SFIA Level 5,Critical SFIA Skill 5,SFIA Skill 6,SFIA Level 6,Critical SFIA Skill 6,SFIA Skill 7,SFIA Level 7,Critical SFIA Skill 7,SFIA Skill 8,SFIA Level 8,Critical SFIA Skill 8,SFIA Skill 9,SFIA Level 9,Critical SFIA Skill 9,SFIA Skill 10,SFIA Level 10,Critical SFIA Skill 10,SFIA Skill 11,SFIA Level 11,Critical SFIA Skill 11,SFIA Skill 12,SFIA Level 12,Critical SFIA Skill 12,SFIA Skill 13,SFIA Level 13,Critical SFIA Skill 13,SFIA Skill 14,SFIA Level 14,Critical SFIA Skill 14,SFIA Skill 15,SFIA Level 15,Critical SFIA Skill 15,SFIA Skill 16,SFIA Level 16,Critical SFIA Skill 16,CIISec version,CIISec Skill 1,CIISec Level 1,Critical CIISec Skill 1,CIISec Skill 2,CIISec Level 2,Critical CIISec Skill 2,CIISec Skill 3,CIISec Level 3,Critical CIISec Skill 3,CIISec Skill 4,CIISec Level 4,Critical CIISec Skill 4,CIISec Skill 5,CIISec Level 5,Critical CIISec Skill 5,CIISec Skill 6,CIISec Level 6,Critical CIISec Skill 6,CIISec Skill 7,CIISec Level 7,Critical CIISec Skill 7,CIISec Skill 8,CIISec Level 8,Critical CIISec Skill 8,CIISec Skill 9,CIISec Level 9,Critical CIISec Skill 9
Engineer,Typical APS,ICT,Solutions Development,Development and Programming,150501,Solution Engineering,Developer,"Solution Engineers design, test and implement solutions that deliver a digital service.",APS6,Competent,,,,,7,PORT,4,,TEST,3,,METL,4,,SINT,5,,DESN,4,,SWDN,3,,PROG,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associate Engineer,Typical APS,ICT,Solutions Development,Development and Programming,150501,Solution Engineering,Junior Developer,"Solution Engineers design, test and implement solutions that deliver a digital service.",APS4/5,Beginner,,,,,7,PORT,3,,TEST,1,,SINT,2,,SWDN,2,,PROG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Researcher Director,Typical APS,Research,Research,User Research,270306,User Research,,User Researcher Directors oversee the user-centred research discipline within an organisation. They ensure the user research practice develops a deep understanding of the users and uses that research to improve the user’s experience.,EL2,Expert,,,,,7,RLMT,6,Y,TECH,6,Y,RSCH,6,Y,HCEV,5,,USEV,6,Y,URCH,6,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantitative Researcher,Typical APS,Research,Research,User Research,270306,User Research,,"Quantitative Researchers investigate and quantify the opinions, attitudes, behaviours, etc. of groups of people in order to uncover patterns in behaviour, motivation, preferences etc. that can inform the improvement of government services. 
 ",EL1,Expert,,,,,7,VISL,5,,INAN,5,Y,METL,5,,RLMT,5,,TECH,5,Y,RSCH,5,Y,MEAS,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead User Researcher,Typical APS,Research,Research,User Research,270306,User Research,,"User Researchers design, organise, participate in and carry out user-centred research. They develop a deep understanding of the users and advocate for recommendations that improve the user’s experiences with the service. They use research findings to solve problems for the user and the team/Agency. They may contribute to the creation of prototypes for user testing.",EL1,Expert,,,,,7,RLMT,5,Y,TECH,5,Y,BUAN,4,,UNAN,5,Y,RSCH,5,Y,HCEV,4,,USEV,5,Y,URCH,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Researcher,Typical APS,Research,Research,User Research,270306,User Research,,"User Researchers design, organise, participate in and carry out user-centred research. They develop a deep understanding of the users and advocate for recommendations that improve the user’s experiences with the service. They use research findings to solve problems for the user and the team/Agency. They may contribute to the creation of prototypes for user testing.",APS6,Competent,,,,,7,TECH,4,Y,BUAN,3,,UNAN,4,Y,RSCH,4,Y,HCEV,4,,USEV,4,Y,URCH,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior User Researcher,Typical APS,Research,Research,User Research,270306,User Research,,"User Researchers design, organise, participate in and carry out user-centred research. They develop a deep understanding of the users and advocate for recommendations that improve the user’s experiences with the service. They use research findings to solve problems for the user and the team/Agency. They may contribute to the creation of prototypes for user testing.",APS4/5,Beginner,,,,,7,UNAN,3,Y,RSCH,2,Y,HCEV,3,,USEV,2,Y,URCH,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Accessibility Advisor,Typical APS,Service Delivery,Program Delivery,Specialist Adviser,230409,Accessibility,,Accessibility Advisors identify all current and potential user groups and advocate for service design & development approaches and practices that ensure their needs are taken into account.,EL1,Expert,,,,,7,SWDN,2,,METL,6,,RLMT,6,,TECH,6,,QUAS,6,,UNAN,5,,TEST,6,,CORE,6,,USEV,5,,PROG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessibility Practitioner,Typical APS,Service Delivery,Program Delivery,Specialist Adviser,230409,Accessibility,,"Accessibility Practitioners identify all current and potential user groups and coordinate their participation in the design, development and testing process to ensure that the services created are inclusive.",APS5/6,Competent,,,,,7,METL,5,,TECH,5,,QUAS,4,,UNAN,4,,TEST,4,,CORE,4,,USEV,4,,PROG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Director,Typical APS,Project and program,Design,Service Design,260104,Design,,"Design Directors oversee the whole Design discipline, including Service Design, Interaction Design and Content Design. They ensure that the approach and practices are user centred and research informed.",EL2,Guru,,,,,7,RLMT,6,,ITSP,6,,USEV,6,,HCEV,6,,URCH,6,,DESN,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Interaction Designer,Typical APS,Project and program,Design,Service Design,260104,Interaction Design,,"Interaction Designers research, design and test the scenarios, interaction patterns and interface systems that make up an interaction with a service. They makes decisions based on the evidence of user needs in pursuit of the best service. They prototype and test products/services. They create user journey maps and assist with and participating in user research. They collaborate and manage stakeholders.",EL1,Expert,,,,,7,TECH,5,,RLMT,5,,BUAN,4,,USEV,4,,HCEV,5,,UNAN,5,,URCH,5,,SWDN,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interaction Designer,Typical APS,Project and program,Design,Service Design,260104,Interaction Design,,"Interaction Designers research, design and test the scenarios, interaction patterns and interface systems that make up an interaction with a service. They makes decisions based on the evidence of user needs in pursuit of the best service. They prototype and test products/services. They create user journey maps and assist with and participating in user research. They collaborate and manage stakeholders.",APS6,Competent,,,,,7,USEV,3,,HCEV,4,,UNAN,3,,URCH,4,,SWDN,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Design Director,Typical APS,Project and program,Design,Service Design,260104,Service Design,,Service Design Directors oversee the Service Design discipline and ensure that services are designed in accordance with user needs.,EL2,Guru,,SFIA7:URCH,SFIA7:PRMG,,7,TECH,6,,RLMT,6,,CIPM,6,,ORDI,6,,BPRE,6,,MEAS,5,,USEV,6,,HCEV,6,,DESN,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Service Designer,Typical APS,Project and program,Design,Content and Useability Design and Testing,260103,Service Design,,"Service Designers research, prototype and test service deigns, create customer journey maps and carryout stakeholder management. ",EL1,Expert,,SFIA7:URCH,SFIA7:PRMG,,7,RLMT,5,,CIPM,5,,ORDI,5,,BPRE,5,,MEAS,4,,USEV,5,,HCEV,5,,DESN,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Designer,Typical APS,Project and program,Design,Content and Useability Design and Testing,260103,Service Design,,"Service Designers research, prototype and test service deigns, create customer journey maps and carryout stakeholder management. ",APS6,Competent,,,,,7,USEV,3,,HCEV,5,,URCH,4,,DESN,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Officer,Typical APS,Project and program,Design,Content and Useability Design and Testing,260103,Design,,"Design Officers contribute to the creation, development and improvement of designs for a service.",APS4/5,Novice,,,,,7,USEV,2,,HCEV,3,,URCH,3,,DESN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Content Designer,Typical APS,Project and program,Design,Content and Useability Design and Testing,260103,Content Design,,"Content Designers create, curate, organise, layout, evaluate, review and continuously improve the content of a digital service, designed around user needs.",EL1,Expert,,,,,7,RLMT,4,,DESN,4,Y,DTAN,3,,USEV,2,,BSMO,3,,URCH,4,,HCEV,3,,ICPM,6,Y,INCA,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Designer,Typical APS,Project and program,Design,Content and Useability Design and Testing,260103,Content Design,,"Content Designers create, curate, organise, layout, evaluate, review and continuously improve the content of a digital service, designed around user needs.",APS6,Competent,,,,,7,DTAN,2,,USEV,2,Y,BSMO,2,,URCH,3,,HCEV,3,Y,ICPM,4,Y,INCA,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Writer,Typical APS,Project and program,Design,Content and Useability Design and Testing,260103,Content Design,,"Content Writers create, curate, organise, layout, evaluate, review and continuously improve the content of a digital service, designed around user needs.",APS4/5,Beginner,,,,,7,HCEV,3,Y,ICPM,2,Y,INCA,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Visual Communication Designer,Typical APS,Communications and Marketing,Creative Design,Graphic Design,120201,Graphic Design,Senior Graphic Designer,"Visual Communication Designers interpret information content and create visual representations and/or layouts of that content to aid user consumption. They select and implement the best method of delivering content, including forms of online and off-line publication.",EL1,Expert,,,,,7,RLMT,4,,MKTG,4,Y,EMRG,6,,VISL,5,Y,ADEV,5,,HCEV,5,,ICPM,5,Y,INCA,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Communication Designer,Typical APS,Communications and Marketing,Creative Design,Graphic Design,120201,Graphic Design,Graphic Designer,"Visual Communication Designers interpret information content and create visual representations and/or layouts of that content to aid user consumption. They select and implement the best method of delivering content, including forms of online and off-line publication.",APS6,Competent,,,,,7,EMRG,4,,VISL,4,Y,ADEV,4,,HCEV,4,,ICPM,4,Y,INCA,3,Y,CSMG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Visual Communication Designer,Typical APS,Communications and Marketing,Creative Design,Graphic Design,120201,Graphic Design,Junior Graphic Designer,"Visual Communication Designers interpret information content and create visual representations and/or layouts of that content to aid user consumption. They select and implement the best method of delivering content, including forms of online and off-line publication.",APS4/5,Beginner,,,,,7,ADEV,3,,HCEV,3,,ICPM,2,Y,INCA,3,Y,CSMG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Advisor,Typical APS,Intelligence,Security,Security Advisor,170503,Cyber Security Advice and Assessment,,"Cyber Advisors  provide ICT security advice and assistance to government, including policy creation, project advice and assistance, and research.",APS4,Beginner,Service,,,,7,RSCH,2,,TECH,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A1,2,,A2,2,,A3,2,,A6,3,Y,B3,3,,D1,2,Y,I1,2,,I2,2,,,,
Cyber Advisor,Typical APS,Intelligence,Security,Security Advisor,170503,Cyber Security Advice and Assessment,,"Cyber Advisors  provide ICT security advice and assistance to government, including policy creation, project advice and assistance, and research.",APS5,Competent,Service,,,,7,DESN,4,,RSCH,3,,TECH,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A1,2,,A2,3,,A3,2,,A6,3,Y,B3,3,,D1,3,Y,I1,3,,I2,2,,,,
Senior Cyber Advisor,Typical APS,Intelligence,Security,Security Advisor,170503,Cyber Security Advice and Assessment,,"Cyber Advisors  provide ICT security advice and assistance to government, including policy creation, project advice and assistance, and research.",APS6,Expert,Organisation,,,,7,DESN,4,,RSCH,4,,TECH,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A1,3,,A2,3,,A3,3,,A6,4,Y,B3,3,,D1,3,Y,E1,3,,I1,4,,I2,2,
Lead Cyber Advisor,Typical APS,Intelligence,Security,Security Advisor,170503,Cyber Security Advice and Assessment,,"Cyber Advisors  provide ICT security advice and assistance to government, including policy creation, project advice and assistance, and research.",EL1,Expert,Organisation,,,,7,DLMG,5,,DESN,5,,RSCH,5,,TECH,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A1,5,,A2,4,,A3,5,,A6,5,Y,B3,4,,D1,5,Y,E1,4,,I1,5,,I2,2,
Principal Cyber Advisor,Typical APS,Intelligence,Security,Security Advisor,170503,Cyber Security Advice and Assessment,,"Cyber Advisors  provide ICT security advice and assistance to government, including policy creation, project advice and assistance, and research.",EL2,Guru,Strategic,,,,7,DLMG,6,,DESN,6,,RSCH,6,,TECH,6,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A1,6,,A2,6,,A3,6,,A6,6,Y,B3,5,,D1,6,Y,E1,6,,I1,6,,I2,2,
Vulnerability Researcher,Typical APS,Intelligence,Security,Security Investigation,170504,Vulnerability Research,,"Vulnerability Researchers perform research on known vulnerabilities and exploits to develop mitigation strategies and tools that can be deployed on network infrastructures, apps and websites. ",APS4,Beginner,Service,,,,7,SWDN,2,,PROG,2,,RSCH,3,,TECH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,D3,2,Y,I1,3,,I2,2,Y,,,,,,,,,,,,,,,
Vulnerability Researcher,Typical APS,Intelligence,Security,Security Investigation,170504,Vulnerability Research,,"Vulnerability Researchers perform research on known vulnerabilities and exploits to develop mitigation strategies and tools that can be deployed on network infrastructures, apps and websites. ",APS5,Competent,Service,,,,7,DESN,4,Y,SWDN,3,,PROG,3,,RSCH,3,,TECH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,D3,3,Y,D4,3,,E2,3,,F1,2,Y,I1,3,,I2,3,Y,,,,,,
Senior Vulnerability Researcher,Typical APS,Intelligence,Security,Security Investigation,170504,Vulnerability Research,,"Vulnerability Researchers perform research on known vulnerabilities and exploits to develop mitigation strategies and tools that can be deployed on network infrastructures, apps and websites. ",APS6,Expert,Organisation,,,,7,DESN,4,Y,SWDN,3,,PROG,4,,RSCH,3,,TECH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,D3,3,Y,D4,3,,E2,4,,F1,2,Y,I1,3,,I2,4,Y,,,,,,
Lead Vulnerability Researcher,Typical APS,Intelligence,Security,Security Investigation,170504,Vulnerability Research,,"Vulnerability Researchers perform research on known vulnerabilities and exploits to develop mitigation strategies and tools that can be deployed on network infrastructures, apps and websites. ",EL1,Expert,Organisation,,,,7,DESN,4,Y,SWDN,4,,PROG,5,,PENT,4,,RSCH,3,,TECH,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,D3,4,Y,D4,4,,E2,5,,F1,2,Y,I1,3,,I2,5,Y,,,,,,
Principal Vulnerability Researcher,Typical APS,Intelligence,Security,Security Investigation,170504,Vulnerability Research,,"Vulnerability Researchers perform research on known vulnerabilities and exploits to develop mitigation strategies and tools that can be deployed on network infrastructures, apps and websites. ",EL2,Guru,Strategic,,,,7,DESN,4,Y,SWDN,4,,PROG,5,,PENT,4,,RSCH,3,,TECH,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,D3,5,Y,D4,4,,E2,5,,F1,2,Y,I1,3,,I2,6,Y,,,,,,
Cyber Threat Analyst,Typical APS,Intelligence,Security,Security Performance Review,170505,Threat Analysis,,Cyber Threat Analysts need to understand cyber intrusion activities then use their research skills to provide reporting on threat modelling and intelligence.,APS4,Beginner,Service,,,,7,RSCH,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A1,3,,A6,2,,B1,3,Y,B2,3,,B3,2,,F1,3,Y,I1,3,,,,,,,
Cyber Threat Analyst,Typical APS,Intelligence,Security,Security Performance Review,170505,Threat Analysis,,Cyber Threat Analysts need to understand cyber intrusion activities then use their research skills to provide reporting on threat modelling and intelligence.,APS5,Competent,Service,,,,7,RSCH,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A1,3,,A6,2,,B1,4,Y,B2,3,,B3,2,,F1,3,Y,I1,3,,,,,,,
Senior Cyber Threat Analyst,Typical APS,Intelligence,Security,Security Performance Review,170505,Threat Analysis,,Cyber Threat Analysts need to understand cyber intrusion activities then use their research skills to provide reporting on threat modelling and intelligence.,APS6,Expert,Organisation,,,,7,RSCH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A1,3,,A6,2,,B1,4,Y,B2,4,,B3,2,,F1,4,Y,I1,4,,,,,,,
Lead Cyber Threat Analyst,Typical APS,Intelligence,Security,Security Performance Review,170505,Threat Analysis,,Cyber Threat Analysts need to understand cyber intrusion activities then use their research skills to provide reporting on threat modelling and intelligence.,EL1,Expert,Organisation,,,,7,RSCH,4,,TECH,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A1,3,,A6,2,,B1,5,Y,B2,5,,B3,2,,F1,5,Y,I1,4,,,,,,,
Principal Cyber Threat Analyst,Typical APS,Intelligence,Security,Security Performance Review,170505,Threat Analysis,,Cyber Threat Analysts need to understand cyber intrusion activities then use their research skills to provide reporting on threat modelling and intelligence.,EL2,Guru,Strategic,,,,7,RSCH,4,,TECH,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A1,3,,A6,2,,B1,6,Y,B2,6,,B3,2,,F1,6,Y,I1,4,,,,,,,
Intrusion Analyst,Typical APS,Intelligence,Security,Security Performance Review,170505,Intrusion Analysis,,"Intrusion Analysts identify, track and discover sophisticated malicious cyber activity targeting Australian Government systems and networks.",APS4,Beginner,Service,,,,7,RSCH,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A3,1,,A6,2,,B1,3,Y,D4,3,,F1,3,Y,F3,3,Y,I1,2,,,,,,,
Intrusion Analyst,Typical APS,Intelligence,Security,Security Performance Review,170505,Intrusion Analysis,,"Intrusion Analysts identify, track and discover sophisticated malicious cyber activity targeting Australian Government systems and networks.",APS5,Competent,Service,,,,7,RSCH,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A3,1,,A6,2,,B1,3,Y,D4,3,,F1,4,Y,F3,3,Y,I1,2,,,,,,,
Senior Intrusion Analyst,Typical APS,Intelligence,Security,Security Performance Review,170505,Intrusion Analysis,,"Intrusion Analysts identify, track and discover sophisticated malicious cyber activity targeting Australian Government systems and networks.",APS6,Expert,Organisation,,,,7,RSCH,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A3,1,,A6,2,,B1,4,Y,D4,3,,F1,5,Y,F2,3,,F3,3,Y,I1,2,,,,
Lead Intrusion Analyst,Typical APS,Intelligence,Security,Security Performance Review,170505,Intrusion Analysis,,"Intrusion Analysts identify, track and discover sophisticated malicious cyber activity targeting Australian Government systems and networks.",EL1,Expert,Organisation,,,,7,RSCH,2,,TECH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A3,3,,A6,2,,B1,5,Y,D4,3,,F1,6,Y,F2,4,,F3,3,Y,I1,2,,,,
Principal Intrusion Analyst,Typical APS,Intelligence,Security,Security Performance Review,170505,Intrusion Analysis,,"Intrusion Analysts identify, track and discover sophisticated malicious cyber activity targeting Australian Government systems and networks.",EL2,Guru,Strategic,,,,7,RSCH,2,,TECH,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A3,3,,A6,2,,B1,6,Y,D4,3,,F1,6,Y,F2,4,,F3,3,Y,I1,2,,,,
Malware Analyst,Typical APS,Intelligence,Security,Security Investigation,170504,Malware Analysis,,"Malware Analysts identify and understanding malware code, then create code that can defend networks against cyber-attacks.",APS4,Beginner,Service,,,,7,PROG,2,Y,TECH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,E2,2,,F3,1,Y,I2,3,Y,,,,,,,,,,,,,,,
Malware Analyst,Typical APS,Intelligence,Security,Security Investigation,170504,Malware Analysis,,"Malware Analysts identify and understanding malware code, then create code that can defend networks against cyber-attacks.",APS5,Competent,Service,,,,7,DESN,4,,SWDN,3,,PROG,3,Y,TECH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B2,2,,E2,3,,F3,3,Y,I2,4,Y,,,,,,,,,,,,
Senior Malware Analyst,Typical APS,Intelligence,Security,Security Investigation,170504,Malware Analysis,,"Malware Analysts identify and understanding malware code, then create code that can defend networks against cyber-attacks.",APS6,Expert,Organisation,,,,7,DESN,4,,SWDN,4,,PROG,4,Y,DGFS,4,Y,TECH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B2,3,,D2,2,,D4,3,,E1,2,,E2,4,,F3,4,Y,I2,5,Y,,,
Lead Malware Analyst,Typical APS,Intelligence,Security,Security Investigation,170504,Malware Analysis,,"Malware Analysts identify and understanding malware code, then create code that can defend networks against cyber-attacks.",EL1,Expert,Organisation,,,,7,DESN,4,,SWDN,4,,PROG,4,Y,DGFS,5,Y,TECH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B2,4,,D2,2,,D4,3,,E1,2,,E2,4,,F3,5,Y,I2,6,Y,,,
Principal Malware Analyst,Typical APS,Intelligence,Security,Security Investigation,170504,Malware Analysis,,"Malware Analysts identify and understanding malware code, then create code that can defend networks against cyber-attacks.",EL2,Guru,Strategic,,,,7,DESN,4,,SWDN,4,,PROG,4,Y,DGFS,5,Y,TECH,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B2,5,,D2,2,,D4,3,,E1,2,,E2,5,,F3,5,Y,I2,6,Y,,,
Incident Responder,Typical APS,ICT,Service Delivery,ICT Security,150305,Incident Response,,"Incident Responders analyse and investigate a range of complex cyber and information security tasks, including forensic analysis to find sophisticated malicious cyber actors and provide remediation and mitigation advice to protect and secure Australian government systems and networks.",APS4,Beginner,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,1,,B1,2,,D4,2,,E1,2,Y,F1,2,Y,F2,2,Y,F3,2,,I2,1,,,,
Incident Responder,Typical APS,ICT,Service Delivery,ICT Security,150305,Incident Response,,"Incident Responders analyse and investigate a range of complex cyber and information security tasks, including forensic analysis to find sophisticated malicious cyber actors and provide remediation and mitigation advice to protect and secure Australian government systems and networks.",APS5,Competent,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B1,2,,D4,2,,E1,3,Y,F1,3,Y,F2,3,Y,F3,3,,I2,2,,,,
Senior Incident Responder,Typical APS,ICT,Service Delivery,ICT Security,150305,Incident Response,,"Incident Responders analyse and investigate a range of complex cyber and information security tasks, including forensic analysis to find sophisticated malicious cyber actors and provide remediation and mitigation advice to protect and secure Australian government systems and networks.",APS6,Expert,Organisation,,,,7,DGFS,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B1,2,,D4,2,,E1,4,Y,F1,4,Y,F2,5,Y,F3,4,,I2,2,,,,
