Typical Role Name,Record Source,Job Family,Job Family Function,Job Family Role,APS Job Code,Discipline Name,Also known as (alternate role titles),Description,Typical APS Classification,Knowledge,Span of Influence,Required Experience 1,Required Experience 2,Required Experience 3,SFIA version,SFIA Skill 1,SFIA Level 1,Critical SFIA Skill 1,SFIA Skill 2,SFIA Level 2,Critical SFIA Skill 2,SFIA Skill 3,SFIA Level 3,Critical SFIA Skill 3,SFIA Skill 4,SFIA Level 4,Critical SFIA Skill 4,SFIA Skill 5,SFIA Level 5,Critical SFIA Skill 5,SFIA Skill 6,SFIA Level 6,Critical SFIA Skill 6,SFIA Skill 7,SFIA Level 7,Critical SFIA Skill 7,SFIA Skill 8,SFIA Level 8,Critical SFIA Skill 8,SFIA Skill 9,SFIA Level 9,Critical SFIA Skill 9,SFIA Skill 10,SFIA Level 10,Critical SFIA Skill 10,SFIA Skill 11,SFIA Level 11,Critical SFIA Skill 11,SFIA Skill 12,SFIA Level 12,Critical SFIA Skill 12,SFIA Skill 13,SFIA Level 13,Critical SFIA Skill 13,SFIA Skill 14,SFIA Level 14,Critical SFIA Skill 14,SFIA Skill 15,SFIA Level 15,Critical SFIA Skill 15,SFIA Skill 16,SFIA Level 16,Critical SFIA Skill 16,CIISec version,CIISec Skill 1,CIISec Level 1,Critical CIISec Skill 1,CIISec Skill 2,CIISec Level 2,Critical CIISec Skill 2,CIISec Skill 3,CIISec Level 3,Critical CIISec Skill 3,CIISec Skill 4,CIISec Level 4,Critical CIISec Skill 4,CIISec Skill 5,CIISec Level 5,Critical CIISec Skill 5,CIISec Skill 6,CIISec Level 6,Critical CIISec Skill 6,CIISec Skill 7,CIISec Level 7,Critical CIISec Skill 7,CIISec Skill 8,CIISec Level 8,Critical CIISec Skill 8,CIISec Skill 9,CIISec Level 9,Critical CIISec Skill 9
Lead Incident Responder,Typical APS,ICT,Service Delivery,ICT Security,150305,Incident Response,,"Incident Responders analyse and investigate a range of complex cyber and information security tasks, including forensic analysis to find sophisticated malicious cyber actors and provide remediation and mitigation advice to protect and secure Australian government systems and networks.",EL1,Expert,Organisation,,,,7,DGFS,5,,TECH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B1,3,,D4,2,,E1,5,Y,F1,5,Y,F2,6,Y,F3,5,,I2,2,,,,
Principal Incident Responder,Typical APS,ICT,Service Delivery,ICT Security,150305,Incident Response,,"Incident Responders analyse and investigate a range of complex cyber and information security tasks, including forensic analysis to find sophisticated malicious cyber actors and provide remediation and mitigation advice to protect and secure Australian government systems and networks.",EL2,Guru,Strategic,,,,7,DGFS,6,,TECH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B1,3,,D4,2,,E1,5,Y,F1,6,Y,F2,6,Y,F3,6,,I2,2,,,,
Operations Coordinator,Typical APS,ICT,Service Delivery,ICT Security,150305,Operations Coordination,,"Operations Coordinators plan and coordinate incident responses for cyber intrusions affecting Australian Government, industry and networks.",APS4,Beginner,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A5,2,,A6,2,,A7,3,Y,B1,2,,B3,3,Y,D1,3,,D3,1,,E1,2,,F2,3,Y
Operations Coordinator,Typical APS,ICT,Service Delivery,ICT Security,150305,Operations Coordination,,"Operations Coordinators plan and coordinate incident responses for cyber intrusions affecting Australian Government, industry and networks.",APS5,Competent,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A5,2,,A6,2,,A7,3,Y,B1,2,,B3,4,Y,D1,4,,D3,1,,E1,2,,F2,3,Y
Senior Operations Coordinator,Typical APS,ICT,Service Delivery,ICT Security,150305,Operations Coordination,,"Operations Coordinators plan and coordinate incident responses for cyber intrusions affecting Australian Government, industry and networks.",APS6,Expert,Organisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A5,2,,A6,2,,A7,4,Y,B1,2,,B3,5,Y,D1,4,,D3,2,,E1,2,,F2,4,Y
Lead Operations Coordinator,Typical APS,ICT,Service Delivery,ICT Security,150305,Operations Coordination,,"Operations Coordinators plan and coordinate incident responses for cyber intrusions affecting Australian Government, industry and networks.",EL1,Expert,Organisation,,,,7,TECH,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A5,2,,A6,2,,A7,4,Y,B1,2,,B3,6,Y,D1,5,,D3,2,,E1,2,,F2,5,Y
Principal Operations Coordinator,Typical APS,ICT,Service Delivery,ICT Security,150305,Operations Coordination,,"Operations Coordinators plan and coordinate incident responses for cyber intrusions affecting Australian Government, industry and networks.",EL2,Guru,Strategic,,,,7,TECH,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A5,2,,A6,2,,A7,5,Y,B1,2,,B3,6,Y,D1,6,,D3,2,,E1,2,,F2,6,Y
Penetration Tester,Typical APS,Intelligence,Security,Security Performance Review,170505,Penetration Testing,,Penetration Testers analyse IT systems to determine configuration weaknesses and faults that would impact on security and business then produce reports detailing the findings and recommendations for improved network security.,APS4,Beginner,Service,,,,7,DESN,4,,SWDN,2,,PROG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B2,2,Y,D2,2,,D4,3,Y,E1,2,,E2,2,,,,,,,,,,
Penetration Tester,Typical APS,Intelligence,Security,Security Performance Review,170505,Penetration Testing,,Penetration Testers analyse IT systems to determine configuration weaknesses and faults that would impact on security and business then produce reports detailing the findings and recommendations for improved network security.,APS5,Competent,Service,,,,7,DESN,4,,SWDN,2,,PROG,2,,PENT,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B2,2,Y,D2,2,,D4,4,Y,E1,2,,E2,2,,F3,3,Y,I2,3,,,,
Senior Penetration Tester,Typical APS,Intelligence,Security,Security Performance Review,170505,Penetration Testing,,Penetration Testers analyse IT systems to determine configuration weaknesses and faults that would impact on security and business then produce reports detailing the findings and recommendations for improved network security.,APS6,Expert,Organisation,,,,7,DESN,4,,SWDN,3,,PROG,3,,PENT,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B2,2,Y,D2,3,,D4,4,Y,E1,3,,E2,3,,F3,3,Y,I2,3,,,,
Lead Penetration Tester,Typical APS,Intelligence,Security,Security Performance Review,170505,Penetration Testing,,Penetration Testers analyse IT systems to determine configuration weaknesses and faults that would impact on security and business then produce reports detailing the findings and recommendations for improved network security.,EL1,Expert,Organisation,,,,7,DESN,4,,SWDN,3,,PROG,3,,PENT,5,Y,DGFS,4,Y,TECH,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B2,3,Y,D2,3,,D4,5,Y,E1,3,,E2,4,,F1,2,,F3,4,Y,I2,4,
Principal Penetration Tester,Typical APS,Intelligence,Security,Security Performance Review,170505,Penetration Testing,,Penetration Testers analyse IT systems to determine configuration weaknesses and faults that would impact on security and business then produce reports detailing the findings and recommendations for improved network security.,EL2,Guru,Strategic,,,,7,DESN,4,,SWDN,4,,PROG,4,,PENT,6,Y,DGFS,5,Y,TECH,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B2,4,Y,D2,3,,D4,6,Y,E1,4,,E2,5,,F1,2,,F3,5,Y,I2,4,
Vulnerability Assessor,Typical APS,Intelligence,Security,Security Advisor,170503,Vulnerability Assessment,,"Vulnerability Assessors identify, assess and prioritise threat vulnerabilities identified through penetration testing and report findings to improve security architecture and enhance risk awareness.",APS4,Beginner,Service,,,,7,DESN,4,,PROG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B1,3,Y,D1,3,Y,D2,2,Y,D3,2,,D4,3,Y,F1,2,Y,,,,,,
Vulnerability Assessor,Typical APS,Intelligence,Security,Security Advisor,170503,Vulnerability Assessment,,"Vulnerability Assessors identify, assess and prioritise threat vulnerabilities identified through penetration testing and report findings to improve security architecture and enhance risk awareness.",APS5,Competent,Service,,,,7,DESN,5,,SWDN,3,,PROG,3,,TECH,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B1,3,Y,B2,2,,D1,3,Y,D2,3,Y,D3,3,,D4,3,Y,F1,2,Y,,,
Senior Vulnerability Assessor,Typical APS,Intelligence,Security,Security Advisor,170503,Vulnerability Assessment,,"Vulnerability Assessors identify, assess and prioritise threat vulnerabilities identified through penetration testing and report findings to improve security architecture and enhance risk awareness.",APS6,Expert,Organisation,,,,7,DESN,5,,SWDN,4,,PROG,4,,PENT,4,Y,TECH,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B1,4,Y,B2,3,,D1,4,Y,D2,4,Y,D3,4,,D4,4,Y,F1,2,Y,,,
Lead Vulnerability Assessor,Typical APS,Intelligence,Security,Security Advisor,170503,Vulnerability Assessment,,"Vulnerability Assessors identify, assess and prioritise threat vulnerabilities identified through penetration testing and report findings to improve security architecture and enhance risk awareness.",EL1,Expert,Organisation,,,,7,DESN,6,,SWDN,5,,PROG,4,,PENT,5,Y,TECH,6,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B1,5,Y,B2,4,,D1,5,Y,D2,5,Y,D3,5,,D4,5,Y,F1,2,Y,,,
Principal Vulnerability Assessor,Typical APS,Intelligence,Security,Security Advisor,170503,Vulnerability Assessment,,"Vulnerability Assessors identify, assess and prioritise threat vulnerabilities identified through penetration testing and report findings to improve security architecture and enhance risk awareness.",EL2,Guru,Strategic,,,,7,DESN,6,,SWDN,6,,PROG,5,,PENT,6,Y,TECH,6,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,A6,2,,B1,5,Y,B2,4,,D1,6,Y,D2,6,Y,D3,6,,D4,6,Y,F1,2,Y,,,
Chief Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Enterprise Architecture,,"Chief Architects oversee, steer and develop the entire enterprise architecture of an organisation.",SES1,Guru,Strategic,,,,7,BPRE,7,,CNSL,7,Y,INOV,5,,GOVN,6,,ITSP,6,Y,ISCO,6,,EMRG,5,,INAS,5,,STPL,7,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Enterprise Architecture,,"Enterprise Architects create and evolve architecture models that inform the design, development and evolution of business processes and supporting ICT systems.",EL2,Guru,Strategic,SFIA7:BSMO,,,7,BPRE,6,,CNSL,6,Y,TECH,6,,INOV,5,,REQM,6,,GOVN,5,,ITSP,5,Y,ISCO,7,,EMRG,6,Y,SCTY,5,,INAS,5,,STPL,6,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Business Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Business Architecture,,Business Architects design and evolve business capabilities in line with the organisation strategy.,EL2,Guru,Strategic,,,,7,BSMO,6,,BPRE,6,Y,CNSL,6,Y,TECH,6,,INOV,5,,REQM,6,Y,GOVN,5,,ITSP,5,Y,ISCO,7,,EMRG,4,,SCTY,3,,INAS,5,,STPL,6,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Business Architecture,,Business Architects design and evolve business capabilities in line with the organisation strategy.,EL1,Expert,Organisation,,,,7,BSMO,4,,BPRE,5,Y,CNSL,5,Y,TECH,5,,ITSP,5,Y,EMRG,4,Y,INAS,5,,STPL,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Business Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Business Architecture,,Business Architects design and evolve business capabilities in line with the organisation strategy.,EL1,Competent,Service,,,,7,BSMO,4,Y,BPRE,5,Y,CNSL,5,,ITSP,5,,INAS,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Infrastructure Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Infrastructure Architecture,Lead Cloud Architect,"Infrastructure Architects design, implement and evolve the infrastructure (on-premises and/or cloud) that support an organisation's IT systems.",EL2,Guru,Strategic,,,,7,CNSL,5,,TECH,6,Y,INOV,5,,DESN,5,,ARCH,6,Y,GOVN,5,,DCMA,6,,EMRG,6,,NTDS,6,Y,SCTY,3,Y,NTPL,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infrastructure Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Infrastructure Architecture,Cloud Architect,"Infrastructure Architects design, implement and evolve the infrastructure (on-premises and/or cloud) that support an organisation's IT systems.",EL1,Expert,Organisation,,,,7,CNSL,5,,TECH,5,Y,INOV,5,,DESN,5,,ARCH,5,Y,EMRG,5,,NTDS,5,Y,SCTY,3,Y,DEMM,5,,CPMG,5,,NTPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Data Architecture,,"Data Architects design, create, deploy and manage the way data will be structured, stored, used, integrated and managed in IT systems.",EL1,Expert,Organisation,,,,7,CNSL,5,,TECH,5,Y,INOV,5,,DESN,5,,ARCH,5,Y,EMRG,5,,SCTY,3,Y,DEMM,5,,VISL,4,,CPMG,5,,DTAN,4,Y,DATM,5,Y,DBDS,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Business Analyst,Typical APS,Research,Research,Business Analyst,270304,Business Analysis,,Business Analysts seek to understanding business processes and determining business requirements for systems.,EL2,Guru,Strategic,,,,7,CNSL,6,Y,REQM,6,Y,TECH,5,,METL,5,,BPRE,6,Y,DTAN,4,,INOV,5,,BUAN,6,Y,RLMT,5,Y,BENM,5,,BSMO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Business Analyst,Typical APS,Research,Research,Business Analyst,270304,Business Analysis,,Business Analysts seek to understanding business processes and determining business requirements for systems.,EL1,Expert,Organisation,,,,7,CNSL,5,Y,REQM,5,Y,TECH,4,,BPRE,5,Y,DTAN,4,,BUAN,5,Y,RLMT,5,,BENM,5,,BSMO,4,Y,MEAS,4,,UNAN,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Analyst,Typical APS,Research,Research,Business Analyst,270304,Business Analysis,,Business Analysts seek to understanding business processes and determining business requirements for systems.,APS6,Competent,Business,,,,7,REQM,4,Y,BPRE,5,Y,DTAN,3,Y,BUAN,4,Y,RLMT,4,,BSMO,3,Y,MEAS,3,,UNAN,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Business Analyst,Typical APS,Research,Research,Business Analyst,270304,Business Analysis,,Business Analysts seek to understanding business processes and determining business requirements for systems.,APS5,Beginner,Business,,,,7,REQM,3,Y,DTAN,2,Y,BUAN,3,Y,BSMO,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entry Level Business Analyst,Typical APS,Research,Research,Business Analyst,270304,Business Analysis,,Business Analysts seek to understanding business processes and determining business requirements for systems.,APS4,Beginner,Business,,,,7,REQM,2,Y,DTAN,2,,BUAN,3,Y,BSMO,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Systems Analyst,Typical APS,ICT,Solutions Development,Systems Analyst and Content Design,150502,Systems Analysis,,Systems Analysts translate business requirements into technical requirements that align with relevant architectures.,EL2,Guru,Strategic,,,,7,CNSL,5,Y,REQM,6,Y,TECH,6,,METL,5,,STPL,5,Y,DESN,6,Y,SWDN,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Systems Analyst,Typical APS,ICT,Solutions Development,Systems Analyst and Content Design,150502,Systems Analysis,,Systems Analysts translate business requirements into technical requirements that align with relevant architectures.,EL1,Expert,Organisation,,,,7,CNSL,5,,REQM,5,Y,TECH,5,Y,METL,4,,BUAN,4,Y,DESN,5,Y,SWDN,5,,USEV,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Systems Analyst,Typical APS,ICT,Solutions Development,Systems Analyst and Content Design,150502,Systems Analysis,,Systems Analysts translate business requirements into technical requirements that align with relevant architectures.,APS6,Expert,Business,,,,7,CNSL,5,,REQM,4,Y,TECH,4,,METL,3,,BUAN,4,Y,DESN,4,Y,SWDN,4,Y,USEV,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Systems Analyst,Typical APS,ICT,Solutions Development,Systems Analyst and Content Design,150502,Systems Analysis,,Systems Analysts translate business requirements into technical requirements that align with relevant architectures.,APS5,Beginner,Business,,,,7,REQM,3,Y,BUAN,3,,SWDN,3,Y,USEV,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entry Level Systems Analyst,Typical APS,ICT,Solutions Development,Systems Analyst and Content Design,150502,Systems Analysis,,Systems Analysts translate business requirements into technical requirements that align with relevant architectures.,APS4,Beginner,Business,,,,7,REQM,2,Y,BUAN,3,,SWDN,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Designer,Typical APS,Research,Research,Research Design,270305,Research Ops,,"Research Designers plan and oversee the specific research activities of an organisation or group, specifying the methodology and approach that will be used for each research activity and ensuring it is used appropriately.",EL1,Guru,Strategic,,,,7,EMRG,5,,CORE,4,,METL,5,Y,CNSL,5,Y,TECH,5,,UNAN,5,Y,URCH,5,Y,RSCH,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Research Recruiter,Typical APS,Research,Research,User Research,270306,Research Ops,,"User Research Recruiters manage the process of identifying, onboarding, scheduling and supporting user research participants and research interviews.",APS5/6,Competent,Organisation,,,,7,IRMG,4,Y,RESC,4,Y,CNSL,5,Y,RLMT,5,Y,UNAN,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantitative Research Analyst,Typical APS,Research,Research,User Research,270306,Research Ops,,"Quantitative Researchers investigate and quantify the opinions, attitudes, behaviours, etc. of groups of people in order to uncover patterns in behaviour, motivation, preferences etc. that can inform the improvement of government services. 
 ",APS5/6,Expert,Service,,,,7,MEAS,5,Y,TECH,4,Y,INAN,4,Y,USEV,3,Y,RSCH,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Support Officer,Typical APS,Research,Research,User Research,270306,Research Ops,,"Research Support Officers provide support and assistance to researchers, including carrying out research activities and drafting reports.",APS5,Beginner,Service,,,,7,METL,3,Y,RESC,4,Y,RLMT,4,,USEV,2,Y,UNAN,3,Y,RSCH,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Research Analyst,Typical APS,Research,Research,User Research,270306,Research Ops,,Research Analysts collect research materials and derive conclusion from those materials to answer specific research questions.,APS3/4,Novice,Business,,,,7,TEST,2,,INAN,3,Y,USEV,2,Y,URCH,3,Y,RSCH,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Librarian,Typical APS,Information and Knowledge Management,Librarians,Librarian,160101,Research Ops,,Research Librarians assist researchers to find materials and provide them with advice on how to perform research related to their topic. Research Librarians also curate an organisation's research collection and advise on the use of technology in managing that collection.,APS6,Competent,Organisation,,,,7,IRMG,4,Y,KNOW,4,Y,DATM,4,Y,RSCH,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portfolio Manager,Typical APS,ICT,Business Change,Program and Project Manager,150102,Program & Project Management,,"Portfolio Managers oversee the development and execution of a collection of programs, projects and related activities that implement the strategic intent of an organisation.",EL2,Expert,Strategic,,,,7,POMG,6,Y,PRMG,7,Y,QUAS,6,Y,MEAS,6,,FMIT,5,,METL,6,Y,ITSP,5,Y,RLMT,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program Manager,Typical APS,ICT,Business Change,Program and Project Manager,150102,Program & Project Management,,"Program Managers coordinate the delivery of multiple related projects and other change activities, which may include business-as-usual activities.",EL2,Expert,Organisation,,,,7,PRMG,5,Y,PEMT,5,Y,QUMG,6,Y,PROF,4,Y,RLMT,6,Y,FMIT,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Project Manager,Typical APS,Project and program,Project,Project Management,260301,Project Management,,Project Managers plan and manage the delivery of projects.,EL2,Expert,Service,SFIA7:URCH,,,7,PRMG,6,Y,FMIT,4,Y,REQM,5,Y,CIPM,6,Y,RLMT,5,Y,PEMT,5,,QUMG,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Manager,Typical APS,Project and program,Project,Project Management,260301,Project Management,,Project Managers plan and manage the delivery of projects.,EL1,Expert,Service,SFIA7:URCH,,,7,PRMG,5,Y,FMIT,4,Y,REQM,4,Y,CIPM,5,Y,RLMT,5,Y,PEMT,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Project Officer,Typical APS,Project and program,Project,Project Support ,260303,Project Support,,Project Officers assist in the operations of a Project/Program/Portfolio Office and the delivery of projects.,APS6,Competent,Service,SFIA7:BSMO,SFIA7:BUAN,,7,PRMG,4,Y,PROF,5,Y,CSMG,3,,QUMG,4,Y,QUAS,3,,TECH,4,,METL,3,Y,MEAS,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Officer,Typical APS,Project and program,Project,Project Support ,260303,Project Support,,Project Officers assist in the operations of a Project/Program/Portfolio Office and the delivery of projects.,APS5,Beginner,Business,SFIA7:BUAN,,,7,PRMG,4,Y,PROF,4,Y,BSMO,2,,REQM,2,,CSMG,2,Y,QUMG,4,Y,QUAS,3,,METL,3,Y,MEAS,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Support Officer,Typical APS,Project and program,Project,Project Support ,260303,Project Support,,Project Officers assist in the operations of a Project/Program/Portfolio Office and the delivery of projects.,APS4,Novice,Business,,,,7,PROF,3,Y,CSMG,1,Y,QUMG,3,Y,METL,3,Y,MEAS,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Manager,Typical APS,Research,Evaluation,Performance Analysis & Reporting / Benefits Realisation,270102,Project Management Specialist,Benefits Manager,"Value Managers identify, plan, measure and track the value (benefits) expected from a projects and programs.",EL1,Competent,Organisation,,,,7,BENM,5,Y,QUAS,4,Y,TECH,5,Y,INAN,5,Y,PROF,5,,FMIT,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk Manager,Typical APS,Monitoring and Audit,Risk ,Risk Management,190205,Project Management Specialist,,"Risk Managers identify, evaluate and prioritise risks and opportunities, and then coordinate mitigation strategies, monitor and report on the risks.",EL1,Competent,Organisation,,,,7,BURM,5,Y,QUAS,4,Y,INAS,5,Y,TECH,5,Y,PROF,4,,RLMT,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change Manager,Typical APS,Communications and Marketing,Public Relations and Stakeholder Management,Change Manager,120301,Project Management Specialist,,"Change Managers coordinate activities and communication in order to ensure project objectives are met and sustained. They focus on the people aspect of change including changes to business processes, tools and technology, job roles and organisation structures.",EL1,Competent,Organisation,,,,7,CIPM,5,Y,TECH,5,Y,PROF,5,Y,RLMT,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Train Engineer,Typical APS,ICT,Solutions Implementation,Systems Integration and Deployment,150601,Project Management Specialist,Chief Scrum Master,"Release Train Engineers work in an agile environment to ensure projects and programs deliver value by coordinating with stakeholders, escalating blockages and championing improvement.",EL2,Competent,Organisation,,,,7,PRMG,6,,PGMG,6,Y,PROF,5,,OCDV,5,,BENM,6,Y,TECH,4,Y,METL,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMO Assurance Officer,Typical APS,Project and program,Project,Project Reporting,260302,Project Management Specialist,,"PMO Assurance Officers assess and report on the delivery of projects, portfolios and programs to ensure that their expected value will be delivered.",EL1,Competent,Organisation,,,,7,QUAS,5,Y,TECH,5,Y,PROF,5,Y,MEAS,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agile Coach,Typical APS,Service Delivery,Customer Advice and Support,Technical and Procedural Quality Advice,230110,Project Management Specialist,,Agile Coaches guide the implementation and tuning of agile methodologies in organisations.,EL2,Expert,Organisation,,,,7,PROF,6,Y,OCDV,6,Y,ORDI,6,Y,TECH,5,Y,METL,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
